# Design Points of Design of Experiments
# Latin Hypercube Sampling Design : CCD Samples : Random Generator Seed = 2
# ,P1 - InnerDiameter,P7 - Joint - Force Magnitude (N) ,P9 - Parameter 1 (degree) ,P5 - Equivalent Stress Maximum (MPa) ,P6 - Equivalent Plastic Strain Maximum (mm mm^-1) ,P10 - Parameter 2 (radian) ,P11 - Commands (APDL) ARG1,P14 - Commands (APDL) ARG3,P15 - Commands (APDL) ARG2,P16 - my_Torque
Name,P1,P7,P9,P5,P6,P10,P11,P14,P15,P16
1,134.5,-15000,50.033333333333331,5.7626360728890038,0,-0.87324640241449636,134.5,0.4,0.87324640241449636,896.423012773
2,135.5,-11666.666666666668,50.966666666666669,13.94624011928604,0,-0.88953614209977683,135.5,0.4,0.88953614209977683,679.624765187
3,127.5,-16333.333333333334,47.233333333333334,5.0392411538452189,0,-0.82437718335865517,127.5,0.4,0.82437718335865517,1125.748975
4,132.5,-19000,51.9,7.0872945827258951,0,-0.90582588178505719,132.5,0.4,0.90582588178505719,1155.717247
5,126.5,-17666.666666666668,51.433333333333337,5.750107979606832,0,-0.89768101194241712,126.5,0.4,0.89768101194241712,1175.009882
6,137.5,-17000,47.7,6.682251720706609,0,-0.83252205320129546,137.5,0.4,0.83252205320129546,967.980324896
7,136.5,-13666.666666666668,49.1,5.4174812555212526,0,-0.856956662729216,136.5,0.4,0.856956662729216,788.575174735
8,125.5,-14333.333333333332,53.766666666666666,4.7472581054334428,0,-0.938405361155618,125.5,0.4,0.938405361155618,948.86059546
9,133.5,-10333.333333333334,48.633333333333333,3.6423861821099748,0,-0.84881179288657571,133.5,0.4,0.84881179288657571,638.461023835
10,138.5,-19666.666666666668,52.833333333333336,8.7529876048831383,0,-0.92211562147033765,138.5,0.4,0.92211562147033765,1046.771909
11,130.5,-18333.333333333332,50.5,6.2608640603713166,0,-0.88139127225713665,130.5,0.4,0.88139127225713665,1164.144439
12,129.5,-15666.666666666668,48.166666666666664,5.1498946305609774,0,-0.84066692304393553,129.5,0.4,0.84066692304393553,1038.719307
13,128.5,-13000,49.566666666666663,4.1498326626327895,0,-0.86510153257185607,128.5,0.4,0.86510153257185607,860.178682338
14,139.5,-12333.333333333334,52.366666666666667,5.6308388789012476,0,-0.91397075162769748,139.5,0.4,0.91397075162769748,643.063242785
15,131.5,-11000,53.3,4.0979083083889511,0,-0.93026049131297783,131.5,0.4,0.93026049131297783,679.58848589
