# Design Points of Design of Experiments
# Latin Hypercube Sampling Design : CCD Samples : Random Generator Seed = 1
# ,P1 - InnerDiameter,P7 - Joint - Force Magnitude (N) ,P9 - Parameter 1 (degree) ,P5 - Equivalent Stress Maximum (MPa) ,P6 - Equivalent Plastic Strain Maximum (mm mm^-1) ,P10 - Parameter 2 (radian) ,P11 - Commands (APDL) ARG1,P14 - Commands (APDL) ARG3,P15 - Commands (APDL) ARG2,P16 - my_Torque
Name,P1,P7,P9,P5,P6,P10,P11,P14,P15,P16
1,128.5,-15000,52.366666666666667,10.906152295912285,0,-0.91397075162769748,128.5,0.4,0.91397075162769748,967.493718864
2,134.5,-14333.333333333332,47.233333333333334,10.889560141244905,0,-0.82437718335865517,134.5,0.4,0.82437718335865517,881.9835023
3,132.5,-11000,52.833333333333336,8.46790974626592,0,-0.92211562147033765,132.5,0.4,0.92211562147033765,668.936346378
4,135.5,-15666.666666666668,50.033333333333331,11.662895393533482,0,-0.87324640241449636,135.5,0.4,0.87324640241449636,914.251111426
5,133.5,-19000,51.433333333333337,14.645267389780045,0,-0.89768101194241712,133.5,0.4,0.89768101194241712,1137.768777
6,129.5,-17666.666666666668,53.766666666666666,15.069661323449223,0,-0.938405361155618,129.5,0.4,0.938405361155618,1109.607058
7,130.5,-13666.666666666668,47.7,9.4268108217052724,0,-0.83252205320129546,130.5,0.4,0.83252205320129546,896.780187834
8,125.5,-12333.333333333334,50.966666666666669,9.37699406479805,0,-0.88953614209977683,125.5,0.4,0.88953614209977683,832.94581721
9,127.5,-19666.666666666668,49.1,13.408571087944882,0,-0.856956662729216,127.5,0.4,0.856956662729216,1317.529027
10,131.5,-11666.666666666668,49.566666666666663,8.969681942819383,0,-0.86510153257185607,131.5,0.4,0.86510153257185607,739.049042936
11,139.5,-17000,51.9,15.422021038567802,0,-0.90582588178505719,139.5,0.4,0.90582588178505719,880.75240858
12,138.5,-18333.333333333332,48.166666666666664,15.569551972305703,0,-0.84066692304393553,138.5,0.4,0.84066692304393553,1005.860915
13,136.5,-16333.333333333334,53.3,14.451531373555433,0,-0.93026049131297783,136.5,0.4,0.93026049131297783,911.898367079
14,137.5,-10333.333333333334,50.5,8.6058125987448975,0,-0.88139127225713665,137.5,0.4,0.88139127225713665,574.053331517
15,126.5,-13000,48.633333333333333,8.5623387102511419,0,-0.84881179288657571,126.5,0.4,0.84881179288657571,890.49015807
